S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
15,Grok-1.5,P1,Physics Basic,0.0014675,0.73,1192,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-10
16,Grok-1.5,P4,Physics Quantum,0.00375,1.98,1629,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-2
17,Llama-3 70B,C5,Code LeetCode Hard,0.00079,0.32,1786,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-12
18,Claude 3,C1,Code Basic,0.00098,0.51,885,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
19,Grok-1.5,P3,Physics EM,0.00153,0.75563,1479,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-9
20,Llama-3 70B,R3,Reasoning Puzzle,0.0006847,0.387,1482,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
21,GPT-4,P2,Physics Mechanics,0.00103,0.386,1198,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
22,GPT-4,R2,Reasoning Logical,0.00111,0.46602,542,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
23,Llama-3 70B,R3,Reasoning Puzzle,0.0007303,0.37,1364,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-3
24,Grok-1.5,P3,Physics EM,0.0014675,0.8642,692,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
25,Grok-1.5,R2,Reasoning Logical,0.001461,0.8836,1270,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
26,Grok-1.5,M3,Math Calculus,0.00211,0.7747,1749,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-15
27,Grok-1.5,M3,Math Calculus,0.0021725,1.22737,293,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-15
28,Grok-1.5,R1,Reasoning Basic,0.0015,0.83947,1188,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
29,Claude 3,M5,Math Olympiad,0.00288,1.143,1624,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
30,Llama-3 70B,M3,Math Calculus,0.0007,0.3192,471,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-7
31,GPT-4,G2,General Medium,0.0009879,0.40203,1690,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
32,Grok-1.5,P3,Physics EM,0.0011744,0.6795,786,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
33,Grok-1.5,G3,General Long,0.0014,0.72025,1022,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
34,GPT-4,M4,Math Advanced,0.0016,0.8608,132,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
35,Claude 3,C5,Code LeetCode Hard,0.0026794,0.94,467,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
36,Llama-3 70B,R3,Reasoning Puzzle,0.0007,0.213,573,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
37,Claude 3,C2,Code API/JSON,0.0016,0.868,659,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-12
38,Grok-1.5,R1,Reasoning Basic,0.001309,0.45174,364,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
39,Claude 3,R3,Reasoning Puzzle,0.0023616,1.2404,281,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-12
40,Llama-3 70B,C2,Code API/JSON,0.000455,,1787,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
41,Claude 3,P3,Physics EM,0.001135,0.39,1664,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-12
42,Claude 3,G2,General Medium,0.0009863,0.541,1198,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
43,Grok-1.5,R1,Reasoning Basic,0.001348,0.58382,208,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
44,Grok-1.5,P3,Physics EM,0.00159,0.57011,1499,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-9
45,Grok-1.5,G3,General Long,0.001247,0.5568,1376,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-14
46,GPT-4,P2,Physics Mechanics,0.0009,0.5013,953,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
47,Grok-1.5,M3,Math Calculus,0.002143,0.9902,1444,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-13
48,Claude 3,M4,Math Advanced,0.0021,,661,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-7
49,GPT-4,M4,Math Advanced,0.0019,0.98,1319,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
50,Llama-3 70B,P4,Physics Quantum,0.00082,0.36498,1787,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
51,Llama-3 70B,P2,Physics Mechanics,0.0004,0.187,423,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
52,Claude 3,C1,Code Basic,0.00111,0.643,1707,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
53,GPT-4,C5,Code LeetCode Hard,0.0018397,0.6644,1471,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
54,GPT-4,G2,General Medium,0.0009119,0.3,703,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-7
55,Grok-1.5,P1,Physics Basic,0.0015,0.7,624,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-8
56,Claude 3,M5,Math Olympiad,0.00267,1.07926,611,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
57,GPT-4,R3,Reasoning Puzzle,0.002,0.8,1065,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
58,Grok-1.5,C4,Code LeetCode Easy,0.0013,0.78,422,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
59,GPT-4,P3,Physics EM,0.0008333,0.38,1573,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
60,Grok-1.5,P2,Physics Mechanics,0.001523,0.834,350,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
61,Grok-1.5,C4,Code LeetCode Easy,0.00145,0.82,168,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-8
62,GPT-4,R3,Reasoning Puzzle,0.0017,0.80631,317,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-10
63,GPT-4,M2,Math Algebra,0.001071,0.3728,1207,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
64,Claude 3,G1,General Short,0.001231,0.45,855,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
65,Grok-1.5,G2,General Medium,0.0015,0.56,1781,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-14
66,Claude 3,M1,Math Basic,0.0009746,0.61128,694,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
67,Grok-1.5,C4,Code LeetCode Easy,0.0012356,0.4668,352,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
68,GPT-4,C3,Code DS/Algo,0.001,0.503,713,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
69,Grok-1.5,C3,Code DS/Algo,0.0016,0.6648,324,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
70,Claude 3,C4,Code LeetCode Easy,0.0013,0.65,1468,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
71,Llama-3 70B,P1,Physics Basic,0.000328,0.1573,1351,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-15
72,Llama-3 70B,C4,Code LeetCode Easy,0.000423,0.15,1723,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
73,GPT-4,G3,General Long,0.00078,0.4357,1082,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
74,GPT-4,P2,Physics Mechanics,0.0009466,0.494,1247,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
75,Grok-1.5,R1,Reasoning Basic,0.0015,0.789,1544,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-10
76,Claude 3,P3,Physics EM,0.000945,0.41,1681,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
77,GPT-4,C4,Code LeetCode Easy,0.0008994,0.37744,1299,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
78,Llama-3 70B,R2,Reasoning Logical,0.000355,0.21,1248,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
79,Claude 3,G1,General Short,0.00093,0.32,1115,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
80,Grok-1.5,M2,Math Algebra,0.001711,0.75041,1553,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
81,Grok-1.5,P2,Physics Mechanics,0.001228,0.5,885,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
82,GPT-4,P4,Physics Quantum,0.002063,1.13,1774,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-6
83,GPT-4,P1,Physics Basic,0.00081,0.33393,1329,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
84,Grok-1.5,R2,Reasoning Logical,0.00145,0.46,1752,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
85,Claude 3,C4,Code LeetCode Easy,0.001,0.3491,496,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
86,Grok-1.5,G3,General Long,0.0015,0.7502,1369,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
87,GPT-4,R2,Reasoning Logical,0.001086,0.38,861,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
88,Llama-3 70B,M3,Math Calculus,0.00052,0.2422,429,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
89,Claude 3,P3,Physics EM,0.0009,0.545,710,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
90,Llama-3 70B,P3,Physics EM,0.0003,0.18,1295,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-1
91,Grok-1.5,P2,Physics Mechanics,0.001448,0.55527,269,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
92,GPT-4,G3,General Long,0.0011,0.37,525,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
93,GPT-4,G1,General Short,0.0011364,0.49537,1099,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
94,Llama-3 70B,G1,General Short,0.0004,0.162,1248,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
95,Claude 3,G2,General Medium,0.001287,0.75078,1058,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
96,Claude 3,P1,Physics Basic,0.001001,0.474,1742,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
97,Claude 3,G2,General Medium,0.001,0.5146,476,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
98,Llama-3 70B,M3,Math Calculus,0.000577,0.29,1477,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-15
99,GPT-4,R2,Reasoning Logical,0.0009,0.49404,1025,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
100,Grok-1.5,C3,Code DS/Algo,0.00128,0.74,861,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-12
101,Claude 3,G3,General Long,0.0013,0.418,1138,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
102,Claude 3,C4,Code LeetCode Easy,0.001,0.487,905,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
103,Llama-3 70B,M4,Math Advanced,0.0006445,0.2974,1688,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
104,Llama-3 70B,C2,Code API/JSON,0.0005,0.17,847,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
105,Claude 3,P1,Physics Basic,0.001,0.3895,993,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
106,Llama-3 70B,C2,Code API/JSON,0.0006,0.21412,1406,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-4
107,Llama-3 70B,P2,Physics Mechanics,0.000389,0.164,1204,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
108,GPT-4,P3,Physics EM,0.00096,0.28595,450,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
109,Grok-1.5,M3,Math Calculus,0.002467,0.801,306,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-13
110,Llama-3 70B,G3,General Long,0.0003119,0.14,980,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
111,Claude 3,C3,Code DS/Algo,0.0013,,187,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
112,Llama-3 70B,C3,Code DS/Algo,0.0004,0.2241,789,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
113,Grok-1.5,R3,Reasoning Puzzle,0.00308,,493,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
114,Claude 3,R3,Reasoning Puzzle,0.001676,0.53219,836,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-11
115,Grok-1.5,R2,Reasoning Logical,0.001267,0.755,1631,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
116,GPT-4,M2,Math Algebra,0.0011255,0.39186,756,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
117,GPT-4,P2,Physics Mechanics,0.0009,0.443,1347,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
118,Grok-1.5,C5,Code LeetCode Hard,0.00339,1.736,1718,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-8
119,Grok-1.5,P2,Physics Mechanics,0.0016383,0.80953,482,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
120,Grok-1.5,R1,Reasoning Basic,0.0014982,0.67,236,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
121,GPT-4,M2,Math Algebra,0.0011201,0.425,1066,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-9
122,GPT-4,M2,Math Algebra,0.001296,,1211,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
123,Claude 3,P1,Physics Basic,0.00096,0.489,717,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
124,Llama-3 70B,C1,Code Basic,0.000385,0.23,1564,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
125,Llama-3 70B,P3,Physics EM,0.000339,0.1306,345,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
126,Claude 3,G1,General Short,0.0012694,0.457,1625,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
127,Grok-1.5,P4,Physics Quantum,0.0033,1.5165,634,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
128,Claude 3,P3,Physics EM,0.00106,0.32258,1355,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
129,Claude 3,M2,Math Algebra,0.001214,0.6194,1780,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
130,Llama-3 70B,R3,Reasoning Puzzle,0.000577,0.264,1166,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-2
131,Llama-3 70B,C2,Code API/JSON,0.0005,0.2927,834,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-5
132,Claude 3,C5,Code LeetCode Hard,0.0023,1.054,1675,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
133,GPT-4,C2,Code API/JSON,0.0014,0.79,288,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
134,GPT-4,C1,Code Basic,0.00094,0.42927,798,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
135,Grok-1.5,C5,Code LeetCode Hard,0.0028829,1.476,1512,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
136,Claude 3,G3,General Long,0.0012,0.45,1035,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
137,Claude 3,C1,Code Basic,0.001129,0.35,1372,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
138,GPT-4,P1,Physics Basic,0.00089,0.302,1090,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
139,GPT-4,G2,General Medium,0.0009388,0.482,1626,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
140,Llama-3 70B,C1,Code Basic,0.00031,0.19616,1256,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
141,Llama-3 70B,P2,Physics Mechanics,0.000403,0.20923,1128,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
142,Llama-3 70B,R2,Reasoning Logical,0.0004,0.19,1066,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-11
143,Grok-1.5,R3,Reasoning Puzzle,0.0021806,0.8692,1687,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
144,Claude 3,G1,General Short,0.0009,0.492,959,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
145,Llama-3 70B,P4,Physics Quantum,0.00092,0.49578,578,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-10
146,Llama-3 70B,M4,Math Advanced,0.000664,0.41,372,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
147,Llama-3 70B,R1,Reasoning Basic,0.00039,0.2117,341,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
148,GPT-4,R3,Reasoning Puzzle,0.0016,0.646,1396,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
149,Claude 3,G1,General Short,0.00105,0.34723,737,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
150,Claude 3,P1,Physics Basic,0.00111,0.59,1713,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
151,GPT-4,C4,Code LeetCode Easy,0.001005,0.3658,431,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
152,Grok-1.5,M1,Math Basic,0.00146,0.7503,1161,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
153,Llama-3 70B,G2,General Medium,0.0004,0.1375,598,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
154,GPT-4,G2,General Medium,0.000838,0.35373,1062,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-15
155,GPT-4,R1,Reasoning Basic,0.0009329,0.43,1102,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-15
156,Grok-1.5,G3,General Long,0.001428,0.48,300,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
157,Grok-1.5,G2,General Medium,0.0013792,0.71,1281,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
158,Grok-1.5,C5,Code LeetCode Hard,0.0029199,1.0,1033,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-9
159,Llama-3 70B,R1,Reasoning Basic,0.00041,0.222,1601,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-4
160,Claude 3,C4,Code LeetCode Easy,0.001,0.36624,784,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
161,Llama-3 70B,C3,Code DS/Algo,0.00035,0.11877,541,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
162,Grok-1.5,M4,Math Advanced,0.003,1.475,1642,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-11
163,Claude 3,R3,Reasoning Puzzle,0.0023012,1.35234,1634,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
164,Claude 3,G1,General Short,0.001248,0.57,447,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
165,Llama-3 70B,P3,Physics EM,0.00039,0.184,946,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-2
166,Grok-1.5,R3,Reasoning Puzzle,0.0023695,1.39,1774,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
167,Grok-1.5,G3,General Long,0.001597,0.60347,1642,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
168,Llama-3 70B,M4,Math Advanced,0.0006,0.29,1600,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
169,Llama-3 70B,M4,Math Advanced,0.0007032,0.35384,1234,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
170,Claude 3,M3,Math Calculus,0.0019827,1.01279,1334,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
171,Llama-3 70B,C3,Code DS/Algo,0.00038,0.18,1316,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
172,GPT-4,P1,Physics Basic,0.0009454,0.529,774,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
173,Llama-3 70B,P1,Physics Basic,0.0003586,0.12764,314,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-14
174,Claude 3,C2,Code API/JSON,0.001526,0.818,1287,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
175,Grok-1.5,G1,General Short,0.0016,0.85219,1069,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
